Bug ID,Bug Fix Commit Hash,Date of Commit
KARAF-509,2d34c665a1bdda56e181bd36c67a677acb6d7e51,2011-03-14T10:15:25+00:00
KARAF-507,0d2ec9fb3242a1c0829370ef19911f53827ebd95,2011-03-11T11:04:44+00:00
KARAF-508,b4b0082d4bb94ee0978fb378c3ecedb25e340ccb,2011-03-14T10:16:03+00:00
KARAF-5279,f9e5308f3cfe50453bdab321f405b253da330990,2017-07-31T17:30:08+02:00
KARAF-982,a4ca1d92dc9b3bed27bf271ef28f94eb944de6af,2011-11-04T16:47:29+00:00
KARAF-5276,160a835ac39ea284a171ed9c8d33037050ee635f,2017-07-31T10:30:10+02:00
KARAF-3098,5942eb0b1c6524c5e75e7013cbe58eaf024f220b,2014-07-15T11:36:07+02:00
KARAF-985,ab068a296c71f305efa56b847e8025e99b69c32e,2011-11-25T15:53:23+00:00
KARAF-985,e160dcc9244029a255132906dc83ffe45cb47ee6,2011-11-08T18:11:47+00:00
KARAF-3096,aa9c0acff56d526fad52bd459ca488b6605065f3,2014-07-09T16:15:25+02:00
KARAF-5271,a7a627467981433512149b3658145bccbac0c80e,2017-07-25T21:40:14+02:00
KARAF-506,3bab758491c674e56536b1e90ecbd01e15c481d5,2011-03-11T11:05:13+00:00
KARAF-518,bca7f9be0bd379176f41620a838bcec27c36d6ab,2011-04-08T22:01:19+00:00
KARAF-519,4fd2ddde8bed960b19a6971530088d935933d24e,2011-03-31T12:03:22+00:00
KARAF-6103,15b8e035096001e17c894d415d7a21d6e14df70e,2019-01-21T15:40:39+01:00
KARAF-6103,8e8bd387678b6d9950b6a25aa196f6ed9322b086,2019-01-21T13:18:45+01:00
KARAF-6107,98e8b88deafb835b9b5093c0aa58bb59ad56aa3f,2019-01-22T21:11:51+01:00
KARAF-6107,a7e1a191604b0563633dcf2088a4f4a0b12171ef,2019-01-22T18:27:16+01:00
KARAF-5267,16acdbc37cd8c54ef4ca2122eaa3fdaa506114da,2017-07-21T12:09:41+02:00
KARAF-5267,f1ce8fa4087d834e67527a4ea05ff68a2fdfc7da,2017-07-21T12:02:16+02:00
KARAF-5264,47193f74f610dc3d267df77bb517c77342456b44,2017-07-19T13:19:04+02:00
KARAF-512,166f0074e99c2216bd6f2d515e4eb355f871efb9,2011-03-15T07:47:53+00:00
KARAF-3085,bbe54b867d93171d2e350bee3dfaea00af8fd4d2,2014-07-22T11:30:10+02:00
KARAF-5667,a0e44246e33c616bf580fe62df040cf5c1bedfff,2018-03-15T18:28:05+01:00
KARAF-5667,3b52c038ff8bfb82220868053192a8d26034fe32,2018-03-14T20:40:27+01:00
KARAF-4328,2a5725edcfa564438380b897f2e1b90c157cc8ec,2016-02-10T17:41:47+01:00
KARAF-4324,37827b5f51baf93f66c3e2896380ad9b8ef1228b,2017-03-30T09:29:34+02:00
KARAF-1298,cd2cb86c3e197148188b01e80f93f48cf0262470,2012-03-30T07:53:42+00:00
KARAF-162,ddcad1a2ffe48d24573292f23d7870d087c8970b,2010-08-25T07:07:46+00:00
KARAF-2143,c0e1796a034355d0248bb281d31c6d544704cb14,2013-01-29T12:05:40+00:00
KARAF-167,5182848d03286b3a087784a589078f63b59ddd61,2010-08-30T09:18:43+00:00
KARAF-2144,045a2ed0b9ef3e5886dcbd29da0a2d1d044d0ebc,2013-02-01T12:38:13+00:00
KARAF-3471,32ab90d67738bdb57ae725f99f7712e8d84a35bc,2015-04-09T11:18:22+02:00
KARAF-1293,269f50b94d8c0b1fd4291daf0d2d909656a0e2ac,2012-06-20T12:19:30+00:00
KARAF-169,dcd0558e63533f61e83952f50144b9678efb0909,2010-08-26T13:21:40+00:00
KARAF-5671,01d0871a4f6f1cc1112132138345038e99385962,2018-03-28T08:03:37+02:00
KARAF-5672,cc4b3c171e5d19e5383f25e786e0ffc82ceafc7e,2018-03-20T17:15:27+01:00
KARAF-5672,331981e483dd027f1e1087ac1f4e63c34c46b5bc,2018-03-20T15:53:47+01:00
KARAF-5673,7455e3dfa75b94a5ac31dbcf898030a0539c7813,2018-03-20T17:17:18+01:00
KARAF-4319,0780f5588ca41f92da9701ac7c4e89d8e3beadf5,2016-02-19T12:11:12+01:00
KARAF-5678,cde8c4954e04e2de7c52252c15eaace11deadd29,2018-03-27T13:58:47+02:00
KARAF-5678,a6044aa607d6d17c3f8649f181f171311c358bbd,2018-03-27T11:15:56+02:00
KARAF-2136,19895655ccd17acf13e88e043c37a520ed6cf373,2013-01-26T03:19:03+00:00
KARAF-4314,cfda72ece434f6c75af95f7327f5ad1f790c4038,2017-02-13T11:21:42+01:00
KARAF-4314,69bbc0fda78990219026c1128839389e9c282d85,2017-02-10T15:06:02+01:00
KARAF-4314,1950f8fa0f7effa22e67ed3250935dd74447fee6,2017-02-10T10:25:37+01:00
KARAF-2134,ee7f2281917f60892d01efa5fdeed5031fc54a20,2013-01-21T13:38:09+00:00
KARAF-4796,eac82a86a47ae552b0d61dbc018272ab2fffa0ed,2016-10-20T17:45:13+02:00
KARAF-3465,317aab8fb24cd4ad3398ec1ea8cd45bdb701ff84,2015-04-12T08:01:48+02:00
KARAF-3465,5b57d501531787bc9a5c7f1aa4e17f31aa598825,2015-04-10T11:05:38+02:00
KARAF-4311,0d05269d1525346d561a10e3c82467a2ba089351,2016-08-22T11:29:14+02:00
KARAF-1285,176a1168b499c95ba2dc8f4b0f19c890bf5d4496,2012-03-24T17:51:12+00:00
KARAF-178,d163ef623b3bb393ca20b2767005a5a2274b6fa7,2010-08-27T20:42:06+00:00
KARAF-2133,82fe0b3c2bddd65dcc4a70e3fe33773296456c17,2013-01-23T00:01:33+00:00
KARAF-3460,70112462a6c87eb770237357e6b4fe4b3cd6ef9d,2015-01-22T12:10:54+01:00
KARAF-3460,6af8d60e58f38a55f337d880d953f4e15c47674d,2015-01-22T06:46:33+01:00
KARAF-5688,071dc146f3d057dc33e9c6b7d7ae413727e8d114,2018-04-04T10:47:38+02:00
KARAF-4307,3a8c9e10f698d34adb231cc3c3f30faad9ec3501,2016-02-17T15:50:26+01:00
KARAF-4307,9f926c84acdc274cf023cb59ba8d9fd76a0ffb16,2016-02-03T02:30:13-05:00
KARAF-5689,4e4ca469a7096912626479bcacfe2e83b0b0be49,2018-08-02T15:42:05+02:00
KARAF-5689,034d09d332257cd855fc2b051f917e9229448c27,2018-08-02T13:42:42+02:00
KARAF-3459,56d733b9eaabb1ab9b940253296bfee360654133,2015-01-21T16:31:05+01:00
KARAF-2125,b908fd9ce11c2a7489064d5dcb9060c39ccaf831,2013-05-30T13:59:34+00:00
KARAF-1277,9caca7dfc99edb95f45dcba787168df303c18ec7,2012-03-20T09:21:43+00:00
KARAF-4784,333feab0e2cefcf845f7499ccbd87ff90ac4235b,2016-12-07T11:10:52+01:00
KARAF-4784,ad3e4bd98e71eba03fd79f8fae1194f4c803c7aa,2016-12-01T17:16:03+01:00
KARAF-4784,040c805f47abe0f0a3fd18258e14bec5f4bca5a8,2016-12-01T17:14:36+01:00
KARAF-145,64cda125f78c9a2c74e4764457e1621f61858ff4,2010-09-13T14:17:11+00:00
KARAF-4782,19cf2a229d5c22aa5243863b2a9dd827c1293772,2016-10-18T11:16:12+02:00
KARAF-143,a224e74055158bd559ca5d1419f72c5746a2f188,2010-09-09T21:47:18+00:00
KARAF-1270,3d6d359decb47e92d8fca69bf6c4f7b5e15ebd39,2012-03-16T13:38:28+00:00
KARAF-5690,0ebb38932180570968f7ee6d2a6502b4192d8118,2018-05-18T07:28:42+02:00
KARAF-5692,fac8b68d3d58445df62deee53170ce61c43428b1,2018-04-06T12:54:07+02:00
KARAF-5694,9fb700697e494b8310cff575f2a7b3ead3e21751,2018-04-26T11:36:03+08:00
KARAF-5694,9786364d514f15e57d6723d2a5205fbb9f8790a3,2018-04-13T08:03:37+08:00
KARAF-5694,f434e39d9b632e1093b6790341c02ed263261d9f,2018-04-10T11:24:42+08:00
KARAF-5695,1c2b4eb19a884874e9d20ced42078164c8aac579,2018-04-11T21:00:41+08:00
KARAF-5696,3b3b831a58024dd57cca94cd4478e3b66b253a1e,2018-04-11T11:15:46+02:00
KARAF-5697,94b9534045f34a1ec96d4cd543e959cf15cfe9f6,2018-04-12T17:20:41+02:00
KARAF-5699,e03232bacc2eca372dc87d8ca3b5df1c74a1a8db,2018-05-13T08:19:17+02:00
KARAF-1269,9e288dd3a384457e4460c46c03626097c9d52723,2012-03-19T12:04:51+00:00
KARAF-2117,779867f07e4b08ef85720d95df463ef726b40cbf,2013-01-16T09:08:53+00:00
KARAF-2114,c334cac8b2372ddb4edd34ba2180695195f2ad7f,2013-02-11T08:43:46+00:00
KARAF-1267,7a004d5d56cd1b30cac76a40582e58ae7cf2d036,2012-03-18T13:19:02+00:00
KARAF-2115,e27aa70f635e103b95305cd8890e44d79b869eda,2013-01-26T22:35:55+00:00
KARAF-1265,fb152888d3642adfce7b0281b0b1962546256756,2012-03-20T13:55:13+00:00
KARAF-1265,21bf3baa10b108e89fc390193a2720c335200b63,2012-03-20T13:40:24+00:00
KARAF-1265,5eb274e663e720bf0861edbcb1686933cb067252,2012-03-20T10:03:54+00:00
KARAF-3443,025b6fb4476c21963ba3962a6d621548853359b2,2015-11-02T20:32:07+01:00
KARAF-3443,924ffa9d387a9359398fc63c3a37dff5304ce773,2015-07-18T00:28:40+02:00
KARAF-2594,a1858e53cc5d6043862e66fdb01f9de96e73b1cf,2013-11-29T16:56:18+00:00
KARAF-2110,12da0bee446834c1fa4fa2363ca635cd5f265671,2014-02-25T08:13:37+01:00
KARAF-156,5c5bedd64e45cd907efd266603f2beca5dab411c,2010-11-01T13:34:53+00:00
KARAF-3441,e5ea0d70b2b7a315a791f43e365235bf2faf47e6,2015-01-12T15:47:34+08:00
KARAF-2595,c46c7cf7a2ebe74016d6512009c5ae8aabf5d6f7,2013-12-03T05:17:18+00:00
KARAF-2595,109cfdc7d057730e85b55c6e16561466eb223703,2013-12-02T18:28:43+00:00
KARAF-2595,9640366725192d11345ad0c30fb0cbbe8c58c8c9,2013-12-02T17:47:52+00:00
KARAF-1262,32578a1c4f96713be303bfa32cc3d501adfde1fd,2012-04-03T09:43:05+00:00
KARAF-1262,1bef37cf441b570ea2629e6dfd56513e1086558d,2012-04-02T06:12:39+00:00
KARAF-1262,cdcbcc16a344be2d687a7bde08415a4c0ff75559,2012-03-30T09:13:33+00:00
KARAF-13,2692f231c37af3212316cdb50c3da4408eaf491a,2010-09-09T19:24:55+00:00
KARAF-5216,071fdb8a6b2ca4551ba4e181cd908c69c46368d5,2017-06-23T14:20:03+02:00
KARAF-5216,ba62eb5db5578576bb9b98de2453c4c24d2f8311,2017-06-23T08:29:25+02:00
KARAF-5628,25b1a00ab6b2330a469c244c4abc1389aaad5313,2019-10-12T10:50:13+02:00
KARAF-5628,e66f121f2b9d619dcd9a78df52525aeb0bd6a0c9,2019-10-08T17:38:53+03:00
KARAF-123,803ee64c1f51fa2c27e05527cacbb219a5f916ef,2010-07-15T20:58:54+00:00
KARAF-2188,768894019c6323f918e4b6a553f6cb02444f3953,2014-01-15T14:26:47+01:00
KARAF-5211,85111bea15554f795a08773f3184aabc8733e54c,2017-06-23T11:18:45+02:00
KARAF-3033,3e9ac4c7134440bdf2dd9a313c9e8e08bd371837,2014-06-13T08:35:50+02:00
KARAF-3032,099abcec923e21bd6c0d0ac0ad5da985e36c761b,2014-10-24T15:45:41+02:00
KARAF-122,1ab09a4cb855a15d1bcc6994994f56e0b6cd43d2,2010-07-16T11:15:47+00:00
KARAF-128,4421b626dbd71de0c39d3b6b87c882f2feda0f5a,2010-07-18T21:04:53+00:00
KARAF-2181,745f27265dffa6e90133d6988e9662860cabd695,2013-02-12T18:54:44+00:00
KARAF-19,348811b5b564f343bff4378b14f68f185c5f813c,2010-09-13T09:27:41+00:00
KARAF-17,b3789af8ce13b72db14786e5d2448a0d89bb20b7,2010-09-23T13:07:24+00:00
KARAF-16,65c73552fe5bc65f1fde7f426f2819c9cb68a8b8,2010-06-29T08:48:50+00:00
KARAF-5634,e16de6257515b8717a1d8f115f37cd1042581465,2018-02-21T17:05:53+01:00
KARAF-5207,db064db65794b46f828816bdf0d225fe5e10efd5,2017-06-15T11:17:51+02:00
KARAF-5206,5dfb8a3cf70d7e2b2f05eaabbdf99a4b35a9a38c,2017-06-15T10:45:45+02:00
KARAF-4358,26fa826b426b05533e4a97322b122fc47c6d1e15,2016-02-24T10:30:26+01:00
KARAF-4357,090921aa908f6b5695bbda9d9e9e7aa98b2f6e90,2016-03-01T13:52:14+01:00
KARAF-5639,cca68d3ad272fdbcf1ce84a69d6353c55c541db1,2018-02-23T09:12:26+01:00
