('1_2_2', 'impl/src/main/java/org/apache/myfaces/application/ApplicationFactoryImpl.java', 'MYFACES-1975', '98a527fc8a792b95aef940570578087ff5742fb4')
('1_2_2', 'impl/src/main/java/org/apache/myfaces/config/ManagedBeanBuilder.java', 'MYFACES-1975', '98a527fc8a792b95aef940570578087ff5742fb4')
('1_2_2', 'impl/src/main/java/org/apache/myfaces/webapp/Jsp20FacesInitializer.java', 'MYFACES-1975', '98a527fc8a792b95aef940570578087ff5742fb4')
('1_2_2', 'impl/src/main/java/org/apache/myfaces/config/annotation/NoAnnotationLifecyleProvider.java', 'MYFACES-1975', '98a527fc8a792b95aef940570578087ff5742fb4')
('1_2_2', 'api/src/main/java/javax/faces/application/Application.java', 'MYFACES-1975', '98a527fc8a792b95aef940570578087ff5742fb4')
('1_2_2', 'impl/src/main/java/org/apache/myfaces/config/annotation/TomcatAnnotationLifecycleProvider.java', 'MYFACES-1975', '98a527fc8a792b95aef940570578087ff5742fb4')
('1_2_2', 'impl/src/main/java/org/apache/myfaces/config/annotation/NoInjectionAnnotationLifecycleProvider.java', 'MYFACES-1975', '98a527fc8a792b95aef940570578087ff5742fb4')
('1_2_2', 'impl/src/main/java/org/apache/myfaces/renderkit/html/HtmlResponseStateManager.java', 'MYFACES-1975', '98a527fc8a792b95aef940570578087ff5742fb4')
('1_2_2', 'impl/src/main/java/org/apache/myfaces/config/annotation/DefaultLifecycleProviderFactory.java', 'MYFACES-1975', '98a527fc8a792b95aef940570578087ff5742fb4')
('1_2_0', 'impl/src/main/java/org/apache/myfaces/config/annotation/NoAnnotationLifecyleProvider.java', 'MYFACES-1975', '98a527fc8a792b95aef940570578087ff5742fb4')
('1_2_0', 'api/src/main/java/javax/faces/application/Application.java', 'MYFACES-1975', '98a527fc8a792b95aef940570578087ff5742fb4')
('1_2_0', 'impl/src/main/java/org/apache/myfaces/config/annotation/TomcatAnnotationLifecycleProvider.java', 'MYFACES-1975', '98a527fc8a792b95aef940570578087ff5742fb4')
('1_2_0', 'impl/src/main/java/org/apache/myfaces/config/annotation/NoInjectionAnnotationLifecycleProvider.java', 'MYFACES-1975', '98a527fc8a792b95aef940570578087ff5742fb4')
('1_2_0', 'impl/src/main/java/org/apache/myfaces/config/annotation/DefaultLifecycleProviderFactory.java', 'MYFACES-1975', '98a527fc8a792b95aef940570578087ff5742fb4')
('myfaces-core-project-1.1.10', 'impl/src/main/java/org/apache/myfaces/application/ApplicationFactoryImpl.java', 'MYFACES-1975', '98a527fc8a792b95aef940570578087ff5742fb4')
('1_2_6', 'impl/src/main/java/org/apache/myfaces/renderkit/html/HtmlResponseStateManager.java', 'MYFACES-1975', 'a6b987a511aaed9989c50399e84e68ec405f88ec')
('1_2_5', 'impl/src/main/java/org/apache/myfaces/renderkit/html/HtmlResponseStateManager.java', 'MYFACES-1975', 'a6b987a511aaed9989c50399e84e68ec405f88ec')
('1_2_4', 'impl/src/main/java/org/apache/myfaces/renderkit/html/HtmlResponseStateManager.java', 'MYFACES-1975', 'a6b987a511aaed9989c50399e84e68ec405f88ec')
('1_2_3', 'impl/src/main/java/org/apache/myfaces/renderkit/html/HtmlResponseStateManager.java', 'MYFACES-1975', 'a6b987a511aaed9989c50399e84e68ec405f88ec')
('1_2_2', 'impl/src/main/java/org/apache/myfaces/renderkit/html/HtmlResponseStateManager.java', 'MYFACES-1975', 'a6b987a511aaed9989c50399e84e68ec405f88ec')
('2_0_1', 'api/src/main/java/javax/faces/validator/BeanValidator.java', 'MYFACES-2830', 'a9f26f3a159c0e28dbe65ef356c98cc5c4828b02')
('2_0_1', 'api/src/main/java/javax/faces/validator/BeanValidator.java', 'MYFACES-2830', 'b95985992e1587f76a91e3f4800da8c1dea8cb00')
('2_0_1', 'api/src/main/java/javax/faces/validator/BeanValidator.java', 'MYFACES-2830', 'e32365becb111a0538c752e9b7ded2fca7a1d947')
('1_2_6', 'impl/src/main/java/org/apache/myfaces/application/ApplicationFactoryImpl.java', 'MYFACES-1982', '98a527fc8a792b95aef940570578087ff5742fb4')
('1_2_6', 'api/src/main/java/javax/faces/webapp/FacesServlet.java', 'MYFACES-1982', '98a527fc8a792b95aef940570578087ff5742fb4')
('1_2_6', 'impl/src/main/java/org/apache/myfaces/config/ManagedBeanBuilder.java', 'MYFACES-1982', '98a527fc8a792b95aef940570578087ff5742fb4')
('1_2_6', 'impl/src/main/java/org/apache/myfaces/webapp/Jsp20FacesInitializer.java', 'MYFACES-1982', '98a527fc8a792b95aef940570578087ff5742fb4')
('1_2_6', 'impl/src/main/java/org/apache/myfaces/config/annotation/NoAnnotationLifecyleProvider.java', 'MYFACES-1982', '98a527fc8a792b95aef940570578087ff5742fb4')
('1_2_6', 'api/src/main/java/javax/faces/application/Application.java', 'MYFACES-1982', '98a527fc8a792b95aef940570578087ff5742fb4')
('1_2_6', 'impl/src/main/java/org/apache/myfaces/config/annotation/TomcatAnnotationLifecycleProvider.java', 'MYFACES-1982', '98a527fc8a792b95aef940570578087ff5742fb4')
('1_2_6', 'impl/src/main/java/org/apache/myfaces/config/FacesConfigurator.java', 'MYFACES-1982', '98a527fc8a792b95aef940570578087ff5742fb4')
('1_2_6', 'impl/src/main/java/org/apache/myfaces/config/annotation/NoInjectionAnnotationLifecycleProvider.java', 'MYFACES-1982', '98a527fc8a792b95aef940570578087ff5742fb4')
('1_2_6', 'impl/src/main/java/org/apache/myfaces/taglib/core/LoadBundleTag.java', 'MYFACES-1982', '98a527fc8a792b95aef940570578087ff5742fb4')
('1_2_6', 'api/src/main/java/javax/faces/component/UIInput.java', 'MYFACES-1982', '98a527fc8a792b95aef940570578087ff5742fb4')
('1_2_6', 'impl/src/main/java/org/apache/myfaces/context/servlet/FacesContextImpl.java', 'MYFACES-1982', '98a527fc8a792b95aef940570578087ff5742fb4')
('1_2_6', 'impl/src/main/java/org/apache/myfaces/application/ApplicationImpl.java', 'MYFACES-1982', '98a527fc8a792b95aef940570578087ff5742fb4')
('1_2_6', 'impl/src/main/java/org/apache/myfaces/application/jsp/JspStateManagerImpl.java', 'MYFACES-1982', '98a527fc8a792b95aef940570578087ff5742fb4')
('1_2_6', 'impl/src/main/java/org/apache/myfaces/renderkit/html/HtmlRenderKitImpl.java', 'MYFACES-1982', '98a527fc8a792b95aef940570578087ff5742fb4')
('1_2_6', 'impl/src/main/java/org/apache/myfaces/renderkit/html/HtmlResponseStateManager.java', 'MYFACES-1982', '98a527fc8a792b95aef940570578087ff5742fb4')
('1_2_6', 'impl/src/main/java/org/apache/myfaces/config/annotation/DefaultLifecycleProviderFactory.java', 'MYFACES-1982', '98a527fc8a792b95aef940570578087ff5742fb4')
('1_2_5', 'impl/src/main/java/org/apache/myfaces/application/ApplicationFactoryImpl.java', 'MYFACES-1982', '98a527fc8a792b95aef940570578087ff5742fb4')
('1_2_5', 'api/src/main/java/javax/faces/webapp/FacesServlet.java', 'MYFACES-1982', '98a527fc8a792b95aef940570578087ff5742fb4')
('1_2_5', 'impl/src/main/java/org/apache/myfaces/config/ManagedBeanBuilder.java', 'MYFACES-1982', '98a527fc8a792b95aef940570578087ff5742fb4')
('1_2_5', 'impl/src/main/java/org/apache/myfaces/webapp/Jsp20FacesInitializer.java', 'MYFACES-1982', '98a527fc8a792b95aef940570578087ff5742fb4')
('1_2_5', 'impl/src/main/java/org/apache/myfaces/config/annotation/NoAnnotationLifecyleProvider.java', 'MYFACES-1982', '98a527fc8a792b95aef940570578087ff5742fb4')
('1_2_5', 'api/src/main/java/javax/faces/application/Application.java', 'MYFACES-1982', '98a527fc8a792b95aef940570578087ff5742fb4')
('1_2_5', 'impl/src/main/java/org/apache/myfaces/config/annotation/TomcatAnnotationLifecycleProvider.java', 'MYFACES-1982', '98a527fc8a792b95aef940570578087ff5742fb4')
('1_2_5', 'impl/src/main/java/org/apache/myfaces/config/FacesConfigurator.java', 'MYFACES-1982', '98a527fc8a792b95aef940570578087ff5742fb4')
('1_2_5', 'impl/src/main/java/org/apache/myfaces/config/annotation/NoInjectionAnnotationLifecycleProvider.java', 'MYFACES-1982', '98a527fc8a792b95aef940570578087ff5742fb4')
('1_2_5', 'impl/src/main/java/org/apache/myfaces/taglib/core/LoadBundleTag.java', 'MYFACES-1982', '98a527fc8a792b95aef940570578087ff5742fb4')
