('maven-2.2.0', 'maven-compat/src/main/java/org/apache/maven/repository/DelegatingLocalArtifactRepository.java', 'MNG-4281', '480dd49f8d4480a7164955035f6ad3c62f5ae674')
('maven-2.2.0', 'maven-core/src/main/java/org/apache/maven/plugin/MojoExecution.java', 'MNG-4280', 'a0f1eb39170f8937350b2d83ae24c503432a5260')
('maven-2.2.0', 'maven-core/src/main/java/org/apache/maven/lifecycle/DefaultLifecycleExecutor.java', 'MNG-4280', 'a0f1eb39170f8937350b2d83ae24c503432a5260')
('maven-2.2.0', 'maven-core/src/main/java/org/apache/maven/project/artifact/MavenMetadataSource.java', 'MNG-4275', 'ae33045c9645a6e5f679a03a2ed3502a68ee50ba')
('maven-2.2.0', 'maven-compat/src/main/java/org/apache/maven/repository/legacy/resolver/DefaultLegacyArtifactCollector.java', 'MNG-4275', 'ae33045c9645a6e5f679a03a2ed3502a68ee50ba')
('maven-2.2.0', 'maven-core/src/main/java/org/apache/maven/plugin/DefaultPluginManager.java', 'MNG-4274', '67a2275ac932e94f362463e94fd2ed892d2c6fc8')
('maven-2.2.0', 'maven-core/src/main/java/org/apache/maven/project/DefaultProjectBuildingHelper.java', 'MNG-4274', '67a2275ac932e94f362463e94fd2ed892d2c6fc8')
('maven-2.2.0', 'maven-core/src/main/java/org/apache/maven/classrealm/DefaultClassRealmManager.java', 'MNG-4273', '49e73d3ff615add1634c80bc161b08dc7c5afda9')
('maven-2.2.1', 'maven-compat/src/main/java/org/apache/maven/artifact/repository/metadata/ArtifactRepositoryMetadata.java', 'MNG-2098', 'ed18f8b7c6e37ef3284647e8d1fa896385777f70')
('maven-2.2.1', 'maven-core/src/main/java/org/apache/maven/lifecycle/DefaultLifecycleExecutor.java', 'MNG-4291', '16b9331f9244951c07a0157082da4202691abfd5')
('maven-2.2.0', 'maven-model-builder/src/main/java/org/apache/maven/model/building/DefaultModelBuilder.java', 'MNG-4283', '7de128096848eb34c268bf8ad8372c9e7a02827c')
('maven-2.2.0', 'maven-core/src/main/java/org/apache/maven/project/DefaultProjectBuilder.java', 'MNG-4283', '7de128096848eb34c268bf8ad8372c9e7a02827c')
('maven-3.0.3', 'maven-core/src/main/java/org/apache/maven/ReactorReader.java', 'MNG-5137', '5c79de69e754241b9204f06fb326d9c8063fa2ff')
('maven-3.0.3', 'maven-core/src/main/java/org/apache/maven/lifecycle/internal/LifecycleDependencyResolver.java', 'MNG-5135', 'e877a035d76348361f4cae7d9f27c7f591e15f3e')
('maven-3.0.3', 'maven-compat/src/main/java/org/apache/maven/artifact/repository/DefaultArtifactRepositoryFactory.java', 'MNG-5149', '0721322d4ea8132dee8a7392b7ed03910c8e39b7')
('maven-3.0.3', 'maven-model-builder/src/main/java/org/apache/maven/model/merge/MavenModelMerger.java', 'MNG-5155', '6262c73a6b3bb9126b6df857991fc7b86f8c4fe5')
('maven-3.0.3', 'maven-model/src/main/java/org/apache/maven/model/merge/ModelMerger.java', 'MNG-5153', 'decce3a1209efcaf6eebbd9b8680c4343e6ccaee')
('maven-3.0.3', 'maven-model-builder/src/main/java/org/apache/maven/model/building/DefaultModelBuilder.java', 'MNG-5157', 'a1d64e71cabb8e6a884321cae794366da3624673')
('maven-3.0.2', 'maven-model-builder/src/main/java/org/apache/maven/model/building/DefaultModelBuilder.java', 'MNG-5157', 'a1d64e71cabb8e6a884321cae794366da3624673')
('maven-3.0.3', 'maven-model-builder/src/main/java/org/apache/maven/model/building/DefaultModelBuilder.java', 'MNG-5157', '870a3b3e8040a7ee2727480bc0a43121ac99e59c')
('maven-3.0.2', 'maven-model-builder/src/main/java/org/apache/maven/model/building/DefaultModelBuilder.java', 'MNG-5157', '870a3b3e8040a7ee2727480bc0a43121ac99e59c')
('maven-3.0.3', 'maven-model-builder/src/main/java/org/apache/maven/model/validation/DefaultModelValidator.java', 'MNG-5157', 'e49d091bc4ff310dafbf824e7f304abb4517ce64')
('maven-3.0.3', 'maven-model-builder/src/main/java/org/apache/maven/model/building/DefaultModelBuilder.java', 'MNG-5157', 'e49d091bc4ff310dafbf824e7f304abb4517ce64')
('maven-3.0.2', 'maven-model-builder/src/main/java/org/apache/maven/model/validation/DefaultModelValidator.java', 'MNG-5157', 'e49d091bc4ff310dafbf824e7f304abb4517ce64')
('maven-3.0.2', 'maven-model-builder/src/main/java/org/apache/maven/model/building/DefaultModelBuilder.java', 'MNG-5157', 'e49d091bc4ff310dafbf824e7f304abb4517ce64')
('maven-2.2.0', 'maven-compat/src/main/java/org/apache/maven/project/inheritance/ModelInheritanceAssembler.java', 'MNG-4239', '433d4bf3b87da1dc381a873fb7d095a46cecb314')
('maven-2.2.0', 'maven-compat/src/main/java/org/apache/maven/project/inheritance/DefaultModelInheritanceAssembler.java', 'MNG-4239', '433d4bf3b87da1dc381a873fb7d095a46cecb314')
('maven-2.2.1', 'maven-core/src/main/java/org/apache/maven/plugin/PluginParameterExpressionEvaluator.java', 'MNG-4238', '0b8b83f6705f8df72b4dbd6cbc58afdb8b6c669c')
('maven-2.2.0', 'maven-core/src/main/java/org/apache/maven/plugin/PluginParameterExpressionEvaluator.java', 'MNG-4238', '0b8b83f6705f8df72b4dbd6cbc58afdb8b6c669c')
('maven-3.2.3', 'maven-artifact/src/main/java/org/apache/maven/artifact/versioning/ComparableVersion.java', 'MNG-5568', '14e4885de9729c88715b4036a740733c0476e472')
('maven-3.2.2', 'maven-artifact/src/main/java/org/apache/maven/artifact/versioning/ComparableVersion.java', 'MNG-5568', '14e4885de9729c88715b4036a740733c0476e472')
