('2.2.4', 'jackrabbit-core/src/main/java/org/apache/jackrabbit/core/query/lucene/join/QueryEngine.java', 'JCR-2933', '7f795f15a59a95d5ed92fdd7266839797c07ffea')
('2.2.4', 'jackrabbit-core/src/main/java/org/apache/jackrabbit/core/query/lucene/join/JoinMerger.java', 'JCR-2933', '7f795f15a59a95d5ed92fdd7266839797c07ffea')
('2.2.4', 'jackrabbit-core/src/main/java/org/apache/jackrabbit/core/query/lucene/join/ConstraintSplitter.java', 'JCR-2933', '7f795f15a59a95d5ed92fdd7266839797c07ffea')
('2.2.2', 'jackrabbit-core/src/main/java/org/apache/jackrabbit/core/query/lucene/join/QueryEngine.java', 'JCR-2933', '7f795f15a59a95d5ed92fdd7266839797c07ffea')
('2.2.2', 'jackrabbit-core/src/main/java/org/apache/jackrabbit/core/query/lucene/join/JoinMerger.java', 'JCR-2933', '7f795f15a59a95d5ed92fdd7266839797c07ffea')
('2.2.2', 'jackrabbit-core/src/main/java/org/apache/jackrabbit/core/query/lucene/join/ConstraintSplitter.java', 'JCR-2933', '7f795f15a59a95d5ed92fdd7266839797c07ffea')
('2.2.1', 'jackrabbit-core/src/main/java/org/apache/jackrabbit/core/query/lucene/join/QueryEngine.java', 'JCR-2933', '7f795f15a59a95d5ed92fdd7266839797c07ffea')
('2.2.1', 'jackrabbit-core/src/main/java/org/apache/jackrabbit/core/query/lucene/join/JoinMerger.java', 'JCR-2933', '7f795f15a59a95d5ed92fdd7266839797c07ffea')
('2.2.1', 'jackrabbit-core/src/main/java/org/apache/jackrabbit/core/query/lucene/join/ConstraintSplitter.java', 'JCR-2933', '7f795f15a59a95d5ed92fdd7266839797c07ffea')
('2.2.0', 'jackrabbit-core/src/main/java/org/apache/jackrabbit/core/query/lucene/join/QueryEngine.java', 'JCR-2933', '7f795f15a59a95d5ed92fdd7266839797c07ffea')
