PC,PC+,PI,PI+,PM,PM+,Simple,SZZ_B,SZZ_B+,SZZ_RA,SZZ_RA+,SZZ_U,SZZ_U+
0.21348566308243727,0.21348566308243727,0.27068399044205493,0.27068399044205493,0.32646356033452806,0.32646356033452806,0.05667562724014337,0.8359468339307049,0.8380376344086021,0.9302568697729988,0.9302568697729988,0.9746117084826762,0.9746117084826762
0.28517397881996975,0.28517397881996975,0.2980332829046899,0.2980332829046899,0.3416540595057993,0.3416540595057993,0.08535047907211296,0.8951084215834594,0.8987644982349975,0.941880988401412,0.941880988401412,0.9926878466969239,0.9926878466969239
0.5551905387647832,0.5551905387647832,0.5387647831800263,0.5387647831800263,0.5650459921156373,0.5650459921156373,0.21156373193166886,0.9303547963206308,0.9388961892247043,0.9053876478318003,0.9053876478318003,0.9894875164257556,0.9894875164257556
0.24172661870503598,0.24172661870503598,0.3473792394655704,0.3473792394655704,0.4020554984583762,0.4020554984583762,0.1171634121274409,1.0,1.0,0.9173689619732786,0.9173689619732786,0.9878725590955807,0.9878725590955807
0.23676470588235293,0.23676470588235293,0.29901960784313725,0.29901960784313725,0.3254901960784314,0.3254901960784314,0.10686274509803921,0.9024509803921569,0.907843137254902,0.9107843137254902,0.9107843137254902,0.984313725490196,0.984313725490196
0.44906166219839144,0.44906166219839144,0.44906166219839144,0.44906166219839144,0.5254691689008043,0.5254691689008043,0.1863270777479893,0.8914209115281502,0.9021447721179625,0.8914209115281502,0.8914209115281502,1.0,1.0
0.2691637630662021,0.2691637630662021,0.26742160278745647,0.26742160278745647,0.3192508710801394,0.3192508710801394,0.07883275261324042,0.8179442508710801,0.8262195121951219,0.8501742160278746,0.8501742160278746,0.8667247386759582,0.8667247386759582
0.4447513812154696,0.4447513812154696,0.4447513812154696,0.4447513812154696,0.4696132596685083,0.4696132596685083,0.06353591160220995,0.8756906077348067,0.8812154696132597,0.8812154696132597,0.8812154696132597,0.9917127071823204,0.9917127071823204
0.34922491956712487,0.34922491956712487,0.3360631763673589,0.3360631763673589,0.3656039777712782,0.3656039777712782,0.10938871014916643,0.8081310324656332,0.8259725065808716,0.844983913424978,0.844983913424978,0.9847908745247148,0.9847908745247148
0.2722724338282763,0.2722724338282763,0.32440284054228535,0.32440284054228535,0.31391220142027115,0.31391220142027115,0.10716591349257586,0.8802453195610072,0.8902517753389283,0.8934796642995481,0.8934796642995481,0.9970948999354422,0.9970948999354422
