Proportion_ColdStart,0/3218
Proportion_ColdStart+,0/3218
Proportion_Increment,0/3218
Proportion_Increment+,0/3218
Proportion_MovingWindow,4/3218
Proportion_MovingWindow+,4/3218
SZZ_B,0/3218
SZZ_B+,0/3218
SZZ_RA,65/3218
SZZ_RA+,65/3218
SZZ_U,35/3218
SZZ_U+,35/3218
Simple,0/3218
LLM4SZZ,27/3218
