PC,PC+,PI,PI+,PM,PM+,Simple,SZZ_B,SZZ_B+,SZZ_RA,SZZ_RA+,SZZ_U,SZZ_U+
0.18366616562880253,0.18366616562880253,0.21838093193042732,0.21838093193042732,0.2783623219526161,0.2783623219526161,0.043303986829861855,0.7443275356094767,0.7444706892849474,0.7653711259036575,0.7653711259036575,0.7896356738959273,0.7896356738959273
0.2513142857142857,0.2513142857142857,0.25348571428571426,0.25348571428571426,0.2845714285714286,0.2845714285714286,0.10731428571428571,0.8099428571428572,0.8100571428571428,0.8122285714285714,0.8122285714285714,0.8261714285714286,0.8261714285714286
0.43021148036253776,0.43021148036253776,0.41389728096676737,0.41389728096676737,0.4241691842900302,0.4241691842900302,0.1564954682779456,0.7117824773413898,0.7123867069486405,0.7027190332326284,0.7027190332326284,0.7226586102719034,0.7226586102719034
0.22089476359938992,0.22089476359938992,0.29092526690391457,0.29092526690391457,0.31392984239959326,0.31392984239959326,0.12836807320793087,0.6752669039145908,0.6752669039145908,0.64133197763091,0.64133197763091,0.6748856126080326,0.6748856126080326
0.1639871382636656,0.1639871382636656,0.1902465166130761,0.1902465166130761,0.22990353697749197,0.22990353697749197,0.0632368703108253,0.627545551982851,0.627545551982851,0.6259378349410504,0.6259378349410504,0.6580921757770632,0.6580921757770632
0.4014084507042254,0.4014084507042254,0.4014084507042254,0.4014084507042254,0.4694835680751174,0.4694835680751174,0.284037558685446,0.8474178403755869,0.8474178403755869,0.8356807511737089,0.8356807511737089,0.8779342723004695,0.8779342723004695
0.24153917477978673,0.24153917477978673,0.23180343069077422,0.23180343069077422,0.24571163653222067,0.24571163653222067,0.10106629578117757,0.6128882707464071,0.6175243393602226,0.6481223922114048,0.6481223922114048,0.6309689383402874,0.6309689383402874
0.12247838616714697,0.12247838616714697,0.12247838616714697,0.12247838616714697,0.13976945244956773,0.13976945244956773,0.056195965417867436,0.3861671469740634,0.38760806916426516,0.38760806916426516,0.38760806916426516,0.4092219020172911,0.4092219020172911
0.20240653201547057,0.20240653201547057,0.18994413407821228,0.18994413407821228,0.1951009883970778,0.1951009883970778,0.11516974645466266,0.4963472281908036,0.4963472281908036,0.5045122475290073,0.5045122475290073,0.568972926514826,0.568972926514826
0.2518020969855832,0.2518020969855832,0.28423984272608127,0.28423984272608127,0.2793250327653997,0.2793250327653997,0.11795543905635648,0.733781127129751,0.7354193971166448,0.7247706422018348,0.7247706422018348,0.7668741808650066,0.7668741808650066
